origin,horizon,source_index,target_index,method,window_length,ridge,min_pred_eig,reference_residual,reference_refreshed,reference_fallback
0,3,178,181,local_bwar,48.0,1.0,0.11186354020830948,6.646974118442254e-11,1.0,0.0
0,3,179,182,local_bwar,48.0,1.0,0.10385676985681842,7.431375595062332e-11,1.0,0.0
0,3,180,183,local_bwar,48.0,1.0,0.07058768126004046,7.493237051940271e-11,1.0,0.0
0,3,181,184,local_bwar,48.0,1.0,0.08415250629904943,6.383840960710602e-11,1.0,0.0
0,3,182,185,local_bwar,48.0,1.0,0.08022641011872107,6.161668012922845e-11,1.0,0.0
0,3,183,186,local_bwar,48.0,1.0,0.01834335127017252,5.6011798672765696e-11,1.0,0.0
0,3,184,187,local_bwar,48.0,1.0,0.02179278365087423,6.859273023704806e-11,1.0,0.0
0,3,185,188,local_bwar,48.0,1.0,1.0238037730134273e-08,9.129926765371926e-11,1.0,0.0
0,3,186,189,local_bwar,48.0,1.0,0.035939935944711336,1.250597622872581e-10,1.0,0.0
0,3,187,190,local_bwar,48.0,1.0,0.08694795307065427,1.2602522495138373e-10,1.0,0.0
0,3,188,191,local_bwar,48.0,1.0,0.062348430150737065,1.1970271116290268e-10,1.0,0.0
0,3,189,192,local_bwar,48.0,1.0,0.06802558070592293,1.1093065663458076e-10,1.0,0.0
0,3,190,193,local_bwar,48.0,1.0,0.07233254627212012,1.0556461770007871e-10,1.0,0.0
0,3,191,194,local_bwar,48.0,1.0,0.07921718991680364,9.240659003770794e-11,1.0,0.0
0,3,192,195,local_bwar,48.0,1.0,0.0968815820243185,9.258367307164161e-11,1.0,0.0
0,3,193,196,local_bwar,48.0,1.0,0.07902844393240348,9.609644581528959e-11,1.0,0.0
0,3,194,197,local_bwar,48.0,1.0,0.07547087526179626,9.402508367359398e-11,1.0,0.0
0,3,195,198,local_bwar,48.0,1.0,0.08919672224316842,1.1085179623043317e-10,1.0,0.0
0,3,196,199,local_bwar,48.0,1.0,0.002477775894256359,1.2759251100176161e-10,1.0,0.0
0,3,197,200,local_bwar,48.0,1.0,0.06495365844731829,1.2721233432435906e-10,1.0,0.0
0,3,198,201,local_bwar,48.0,1.0,0.06231328073494212,1.4437599285174437e-10,1.0,0.0
0,3,199,202,local_bwar,48.0,1.0,0.07121294969881418,1.2416202540512942e-10,1.0,0.0
0,3,200,203,local_bwar,48.0,1.0,0.07624855746848473,9.952064408821812e-11,1.0,0.0
0,3,201,204,local_bwar,48.0,1.0,0.09802756666765589,1.0622378088863468e-10,1.0,0.0
0,3,202,205,local_bwar,48.0,1.0,0.08771821765194247,1.05301408149784e-10,1.0,0.0
0,3,203,206,local_bwar,48.0,1.0,0.0924018265125705,9.53007220932167e-11,1.0,0.0
0,3,204,207,local_bwar,48.0,1.0,0.08146257965152032,9.056290858258525e-11,1.0,0.0
0,3,205,208,local_bwar,48.0,1.0,0.09187939351057538,9.418350385187143e-11,1.0,0.0
0,3,206,209,local_bwar,48.0,1.0,0.09464465016498373,9.77424564697266e-11,1.0,0.0
0,3,207,210,local_bwar,48.0,1.0,0.10352117134560733,8.946107904407259e-11,1.0,0.0
0,3,208,211,local_bwar,48.0,1.0,0.10410982406095849,7.853322655625132e-11,1.0,0.0
0,3,209,212,local_bwar,48.0,1.0,0.11485429149593064,7.09396336003613e-11,1.0,0.0
0,3,210,213,local_bwar,48.0,1.0,0.09777687178613081,7.577857621905595e-11,1.0,0.0
0,3,211,214,local_bwar,48.0,1.0,0.09792184194913756,7.784257769013866e-11,1.0,0.0
0,3,212,215,local_bwar,48.0,1.0,0.09514417462756487,8.471348860036515e-11,1.0,0.0
0,3,213,216,local_bwar,48.0,1.0,0.09808237410377953,8.971577976028958e-11,1.0,0.0
0,3,214,217,local_bwar,48.0,1.0,0.09116924658338979,9.043772930958577e-11,1.0,0.0
0,3,215,218,local_bwar,48.0,1.0,0.12460465229763473,9.219664042151202e-11,1.0,0.0
0,3,216,219,local_bwar,48.0,1.0,0.129892639964786,9.565180050430346e-11,1.0,0.0
0,3,217,220,local_bwar,48.0,1.0,0.09085203039086888,1.014822187478178e-10,1.0,0.0
0,3,218,221,local_bwar,48.0,1.0,0.08251560699348656,1.0424413230494388e-10,1.0,0.0
0,3,219,222,local_bwar,48.0,1.0,0.08927474969971401,1.100482224500189e-10,1.0,0.0
0,3,220,223,local_bwar,48.0,1.0,0.11001223691722099,1.1379257337328353e-10,1.0,0.0
0,4,177,181,local_bwar,24.0,1.0,0.08934673543353652,5.4219547916106385e-11,1.0,0.0
0,4,178,182,local_bwar,24.0,1.0,0.09583846068804316,5.468124700803897e-11,1.0,0.0
0,4,179,183,local_bwar,24.0,1.0,0.09202272541889162,9.739157678321313e-10,1.0,0.0
0,4,180,184,local_bwar,24.0,1.0,0.08762739317590691,9.156377426307832e-10,1.0,0.0
0,4,181,185,local_bwar,24.0,1.0,0.08458716098065604,9.606182869187867e-10,1.0,0.0
0,4,182,186,local_bwar,24.0,1.0,0.08024427940256636,4.540174321174041e-11,1.0,0.0
0,4,183,187,local_bwar,24.0,1.0,0.06733614420607303,7.03769051433883e-11,1.0,0.0
0,4,184,188,local_bwar,24.0,1.0,0.05023053993785279,1.6890097184843776e-10,1.0,0.0
0,4,185,189,local_bwar,24.0,1.0,1.0226442743470292e-08,3.3961041573034585e-10,1.0,0.0
0,4,186,190,local_bwar,24.0,1.0,0.056094709514411804,5.663169327523186e-10,1.0,0.0
0,4,187,191,local_bwar,24.0,1.0,0.07891676783179521,5.82168564957197e-10,1.0,0.0
0,4,188,192,local_bwar,24.0,1.0,0.06760333692530203,7.312239710168073e-10,1.0,0.0
0,4,189,193,local_bwar,24.0,1.0,0.07433108810000814,8.731063394404038e-10,1.0,0.0
0,4,190,194,local_bwar,24.0,1.0,0.07758986879795969,7.850768970677918e-10,1.0,0.0
0,4,191,195,local_bwar,24.0,1.0,0.07807625177252736,7.559820781063786e-10,1.0,0.0
0,4,192,196,local_bwar,24.0,1.0,0.07139260576232033,7.765616868295323e-10,1.0,0.0
0,4,193,197,local_bwar,24.0,1.0,0.09123805424770615,7.724068707450165e-10,1.0,0.0
0,4,194,198,local_bwar,24.0,1.0,0.08250284832053781,8.517283026958661e-10,1.0,0.0
0,4,195,199,local_bwar,24.0,1.0,0.07849620721596469,9.413343072904368e-10,1.0,0.0
0,4,196,200,local_bwar,24.0,1.0,0.054365290419914815,9.679365609318891e-10,1.0,0.0
0,4,197,201,local_bwar,24.0,1.0,0.07468905394290162,8.708066523427746e-10,1.0,0.0
0,4,198,202,local_bwar,24.0,1.0,0.06893333181272661,8.471197780571607e-10,1.0,0.0
0,4,199,203,local_bwar,24.0,1.0,0.07513462642001224,9.100139405026132e-10,1.0,0.0
0,4,200,204,local_bwar,24.0,1.0,0.0781213749935152,9.974245441608353e-10,1.0,0.0
0,4,201,205,local_bwar,24.0,1.0,0.08473191092529155,9.77795486644746e-10,1.0,0.0
0,4,202,206,local_bwar,24.0,1.0,0.06698754221451199,8.886634028325199e-11,1.0,0.0
0,4,203,207,local_bwar,24.0,1.0,0.07678160397363668,9.515380083546373e-11,1.0,0.0
0,4,204,208,local_bwar,24.0,1.0,0.08421282040819555,9.849618838825432e-10,1.0,0.0
0,4,205,209,local_bwar,24.0,1.0,0.09973346982257637,7.61351786648465e-10,1.0,0.0
0,4,206,210,local_bwar,24.0,1.0,0.10403154857984823,6.563319330738443e-10,1.0,0.0
0,4,207,211,local_bwar,24.0,1.0,0.10756476571729821,3.2187406401785714e-10,1.0,0.0
0,4,208,212,local_bwar,24.0,1.0,0.1062320488940412,1.5478732501733475e-10,1.0,0.0
0,4,209,213,local_bwar,24.0,1.0,0.08283246647455664,6.094862659626756e-11,1.0,0.0
0,4,210,214,local_bwar,24.0,1.0,0.0877117613720155,8.857168874880913e-10,1.0,0.0
0,4,211,215,local_bwar,24.0,1.0,0.10475836620642555,8.809116365861258e-10,1.0,0.0
0,4,212,216,local_bwar,24.0,1.0,0.1302218960012824,8.811005194716779e-10,1.0,0.0
0,4,213,217,local_bwar,24.0,1.0,0.12648127385934188,8.536607723974579e-10,1.0,0.0
0,4,214,218,local_bwar,24.0,1.0,0.10871725036955103,9.081238590359876e-10,1.0,0.0
0,4,215,219,local_bwar,24.0,1.0,0.1367007112421199,9.248441330489828e-10,1.0,0.0
0,4,216,220,local_bwar,24.0,1.0,0.10677027649084701,8.84330266182373e-10,1.0,0.0
0,4,217,221,local_bwar,24.0,1.0,0.08944522334915792,9.003097641144808e-10,1.0,0.0
0,4,218,222,local_bwar,24.0,1.0,0.09284293220254572,9.960517040499352e-10,1.0,0.0
