origin,horizon,window_length,ridge,validation_raw_rmse,validation_w2,n_validation_targets
0,3,48,1.0,0.3260115161728421,13.789442939956905,54
0,4,24,1.0,0.3050057841414,12.098349197727162,54
0,6,24,1.0,0.3292348396897932,13.220972477235886,54
1,3,48,1.0,0.33029394415074304,15.289951197735595,54
1,4,48,1.0,0.3255128734251854,14.688276195514087,54
1,6,48,1.0,0.35740664753930895,16.057380100293848,54
2,3,72,1.0,0.37148760278641396,18.716638626049164,54
2,4,48,1.0,0.3465476726456015,16.39146029043145,54
2,6,72,1.0,0.37022665061870297,17.274722029035384,54
3,3,24,1.0,0.35358009265222634,14.938951335913934,54
3,4,24,1.0,0.33783427171325786,13.401579213295467,54
3,6,24,0.001,0.34724146924983257,14.507476492220238,54
4,3,24,1.0,0.25464679607275637,7.338437131354964,54
4,4,24,0.1,0.26629326693656974,7.812380923282826,54
4,6,24,1e-06,0.29532767397098375,9.327667895959278,54
