origin,horizon,window_length,ridge,validation_raw_rmse,validation_w2,n_validation_targets,validation_target_start,validation_target_stop
0,3,24,1e-06,0.3433195182359128,15.535768645255624,54,127,181
0,3,24,0.0001,0.3433128105343229,15.535221988665585,54,127,181
0,3,24,0.001,0.3432520684059461,15.530274936836417,54,127,181
0,3,24,0.01,0.3426671029774625,15.482900154757974,54,127,181
0,3,24,0.1,0.33837958526703715,15.138157174213006,54,127,181
0,3,24,1.0,0.3282465674582908,14.10987504124679,54,127,181
0,3,24,10.0,0.337088961608933,14.06432832399138,54,127,181
0,3,48,1e-06,0.35365702068087307,15.96574502619418,54,127,181
0,3,48,0.0001,0.3536471318756946,15.964891117574272,54,127,181
0,3,48,0.001,0.3535575548228674,15.95716675158351,54,127,181
0,3,48,0.01,0.3526919259102311,15.883430772675823,54,127,181
0,3,48,0.1,0.3460512433218597,15.349692310164862,54,127,181
0,3,48,1.0,0.3260115161728421,13.789442939956905,54,127,181
0,3,48,10.0,0.339640300552221,14.128008906661321,54,127,181
0,3,72,1e-06,0.40072671047216085,19.2535276858038,54,127,181
0,3,72,0.0001,0.40071176294596456,19.252082118340777,54,127,181
0,3,72,0.001,0.4005761297187442,19.238998054507967,54,127,181
0,3,72,0.01,0.39924566016851093,19.113392603915397,54,127,181
0,3,72,0.1,0.38832072619599256,18.172696792603443,54,127,181
0,3,72,1.0,0.349420029350323,15.195463430856138,54,127,181
0,3,72,10.0,0.3497357744672649,14.719159796030716,54,127,181
0,4,24,1e-06,0.3157370797071129,13.277670814161922,54,127,181
0,4,24,0.0001,0.3157316586982284,13.277221374741456,54,127,181
0,4,24,0.001,0.3156825858573016,13.273150828638936,54,127,181
0,4,24,0.01,0.31521141800923946,13.233853908216647,54,127,181
0,4,24,0.1,0.3117665695739441,12.928630408347399,54,127,181
0,4,24,1.0,0.3050057841414,12.098349197727162,54,127,181
0,4,24,10.0,0.3347950621632144,13.606985710262858,54,127,181
0,4,48,1e-06,0.33042959170194436,14.615471727993794,54,127,181
0,4,48,0.0001,0.3304208170551686,14.614516838689557,54,127,181
0,4,48,0.001,0.3303412930101715,14.605884689626807,54,127,181
0,4,48,0.01,0.3295692185909684,14.524137287665008,54,127,181
0,4,48,0.1,0.32349870336571346,13.94896979753133,54,127,181
0,4,48,1.0,0.3061089513167825,12.35989533188971,54,127,181
0,4,48,10.0,0.3375076319504744,13.69434150754993,54,127,181
0,4,72,1e-06,0.3729631370047755,17.450496901217917,54,127,181
0,4,72,0.0001,0.3729465367713051,17.44893926834107,54,127,181
0,4,72,0.001,0.372796254619358,17.43486419315123,54,127,181
0,4,72,0.01,0.3713500192663841,17.301441532047097,54,127,181
0,4,72,0.1,0.36028689542986003,16.331817307297232,54,127,181
0,4,72,1.0,0.3268627792437846,13.665218043108583,54,127,181
0,4,72,10.0,0.34740891401188523,14.436238062026687,54,127,181
0,6,24,1e-06,0.33654560405172657,14.553785932350607,54,127,181
0,6,24,0.0001,0.3365415430049626,14.553310762532211,54,127,181
0,6,24,0.001,0.3365047319618617,14.54900303946179,54,127,181
0,6,24,0.01,0.336146989437693,14.507028733667093,54,127,181
0,6,24,0.1,0.3334121699530928,14.163940112485735,54,127,181
0,6,24,1.0,0.3292348396897932,13.220972477235886,54,127,181
0,6,24,10.0,0.3392332112015019,13.528145900858142,54,127,181
0,6,48,1e-06,0.3617855839105262,16.423522929854492,54,127,181
0,6,48,0.0001,0.36177820556893964,16.42260494141416,54,127,181
0,6,48,0.001,0.36171113657144055,16.414298984689506,54,127,181
0,6,48,0.01,0.3610426134389964,16.334651513374315,54,127,181
0,6,48,0.1,0.35519584015494315,15.718963942476147,54,127,181
0,6,48,1.0,0.33983247684365764,13.990996556981846,54,127,181
0,6,48,10.0,0.36184120648466456,14.595588524009688,54,127,181
0,6,72,1e-06,0.3928642796626805,18.857633005324946,54,127,181
0,6,72,0.0001,0.3928559729903885,18.85615697550399,54,127,181
0,6,72,0.001,0.39278070175082397,18.842880061599768,54,127,181
0,6,72,0.01,0.39204489207504134,18.72121085520692,54,127,181
0,6,72,0.1,0.38541986173151527,17.877045632554104,54,127,181
0,6,72,1.0,0.36201420815296914,15.400217450470896,54,127,181
0,6,72,10.0,0.37788622136923605,15.663889085662642,54,127,181
1,3,24,1e-06,0.3550556900138345,17.923078284487797,54,170,224
1,3,24,0.0001,0.35504938181830215,17.922425329985728,54,170,224
1,3,24,0.001,0.35499222990781965,17.91651449106409,54,170,224
1,3,24,0.01,0.35443921075423196,17.85973831974887,54,170,224
1,3,24,0.1,0.35020688540895883,17.436848924002355,54,170,224
1,3,24,1.0,0.33956331650936644,16.19354923290925,54,170,224
1,3,24,10.0,0.3579032565521637,16.256187516806953,54,170,224
1,3,48,1e-06,0.3505244917309853,17.763175400553116,54,170,224
1,3,48,0.0001,0.35051572740159026,17.76211038929924,54,170,224
1,3,48,0.001,0.35043641034462236,17.75247669082317,54,170,224
1,3,48,0.01,0.3496766340419889,17.66058767438139,54,170,224
1,3,48,0.1,0.34415785715956687,17.006404110018035,54,170,224
1,3,48,1.0,0.33029394415074304,15.289951197735595,54,170,224
1,3,48,10.0,0.34969109196145554,15.521848964222979,54,170,224
1,3,72,1e-06,0.3596439312666223,18.49308817856512,54,170,224
1,3,72,0.0001,0.35963314942453467,18.491681548085747,54,170,224
1,3,72,0.001,0.35953552752658585,18.478960371047645,54,170,224
1,3,72,0.01,0.35859679498689945,18.35785760891522,54,170,224
1,3,72,0.1,0.3518120148242779,17.51111369614096,54,170,224
1,3,72,1.0,0.3371176149919151,15.44288723128387,54,170,224
1,3,72,10.0,0.35829218534008944,15.785037909465869,54,170,224
1,4,24,1e-06,0.329069612380881,16.07278888376722,54,170,224
1,4,24,0.0001,0.32906699406924744,16.07231378654123,54,170,224
1,4,24,0.001,0.3290432545844873,16.068010873995924,54,170,224
1,4,24,0.01,0.3288117746709887,16.026463948436632,54,170,224
1,4,24,0.1,0.3269135712181106,15.701682154216574,54,170,224
1,4,24,1.0,0.3255416589464268,14.855256678089681,54,170,224
1,4,24,10.0,0.360482243417853,16.008114321235638,54,170,224
1,4,48,1e-06,0.3437902778888626,17.346873862162788,54,170,224
1,4,48,0.0001,0.34377949861875257,17.345640021084378,54,170,224
1,4,48,0.001,0.34368192562909955,17.334481345865534,54,170,224
1,4,48,0.01,0.3427456268494003,17.2282001936985,54,170,224
1,4,48,0.1,0.3360108466229292,16.46899418648601,54,170,224
1,4,48,1.0,0.3255128734251854,14.688276195514087,54,170,224
1,4,48,10.0,0.3536292324896194,15.393883180439127,54,170,224
1,4,72,1e-06,0.3608776140440521,18.70439853164099,54,170,224
1,4,72,0.0001,0.36086127370025706,18.702471851976632,54,170,224
1,4,72,0.001,0.3607135522278378,18.68506513554175,54,170,224
1,4,72,0.01,0.35931291116696334,18.520838353869557,54,170,224
1,4,72,0.1,0.3499242274549961,17.418944309073094,54,170,224
1,4,72,1.0,0.3341087770297527,15.012352418463452,54,170,224
1,4,72,10.0,0.3650561364188024,15.82402394667577,54,170,224
1,6,24,1e-06,0.37289987518628437,17.940063368769174,54,170,224
1,6,24,0.0001,0.3728945015429521,17.939357017270883,54,170,224
1,6,24,0.001,0.3728458340487735,17.93296578526233,54,170,224
1,6,24,0.01,0.3723759321623241,17.871768098250715,54,170,224
1,6,24,0.1,0.3686878814658474,17.411639797530025,54,170,224
1,6,24,1.0,0.3581322138291083,16.011464644599133,54,170,224
1,6,24,10.0,0.3588478960032692,15.663990307277048,54,170,224
1,6,48,1e-06,0.3807007111687322,19.236059294149673,54,170,224
1,6,48,0.0001,0.38068881699151597,19.234587546310554,54,170,224
1,6,48,0.001,0.3805812600792408,19.221289524371734,54,170,224
1,6,48,0.01,0.3795581554696564,19.095637286804337,54,170,224
1,6,48,0.1,0.3724363503282535,18.23189623902422,54,170,224
1,6,48,1.0,0.35740664753930895,16.057380100293848,54,170,224
1,6,48,10.0,0.35863119562083234,15.603042784262584,54,170,224
1,6,72,1e-06,0.3925248075440209,19.729571315925153,54,170,224
1,6,72,0.0001,0.3925134822382552,19.727977652431946,54,170,224
1,6,72,0.001,0.39241092010100637,19.71358316469541,54,170,224
1,6,72,0.01,0.3914217029797446,19.577884357493783,54,170,224
1,6,72,0.1,0.38392383060010277,18.645196485450256,54,170,224
1,6,72,1.0,0.3655310341860391,16.308164305921313,54,170,224
1,6,72,10.0,0.37014281963158846,16.148007048789392,54,170,224
2,3,24,1e-06,0.39518507479756876,21.197788753088684,54,213,267
2,3,24,0.0001,0.39517838848051157,21.19717003105464,54,213,267
2,3,24,0.001,0.3951179117423212,21.19157791777515,54,213,267
2,3,24,0.01,0.3945420205684601,21.138659952805206,54,213,267
2,3,24,0.1,0.3906537727430753,20.78355768587544,54,213,267
2,3,24,1.0,0.3848442448470749,19.979905486682746,54,213,267
2,3,24,10.0,0.4005541642072021,20.337263874161927,54,213,267
2,3,48,1e-06,0.392313085960554,21.58994856165063,54,213,267
2,3,48,0.0001,0.3923051212250848,21.588916027354824,54,213,267
2,3,48,0.001,0.39223305228586647,21.579586158626473,54,213,267
2,3,48,0.01,0.39154382704511936,21.491466057952753,54,213,267
2,3,48,0.1,0.38662208485008404,20.896573734663527,54,213,267
2,3,48,1.0,0.37454199357997064,19.33303431047373,54,213,267
2,3,48,10.0,0.3901926933675614,19.400863904554935,54,213,267
2,3,72,1e-06,0.39062363154850827,21.40748225642053,54,213,267
2,3,72,0.0001,0.3906140164454206,21.406085561985204,54,213,267
2,3,72,0.001,0.39052710234727284,21.39347622626897,54,213,267
2,3,72,0.01,0.3897036156447111,21.275308273823597,54,213,267
2,3,72,0.1,0.38413493759652023,20.51028238345933,54,213,267
2,3,72,1.0,0.37148760278641396,18.716638626049164,54,213,267
2,3,72,10.0,0.38803968908292036,19.093916512153662,54,213,267
2,4,24,1e-06,0.3534094532264139,17.946303359571864,54,213,267
2,4,24,0.0001,0.35340611149489204,17.945808568388024,54,213,267
2,4,24,0.001,0.3533758107805918,17.941326172656975,54,213,267
2,4,24,0.01,0.3530803272733355,17.89794826735005,54,213,267
2,4,24,0.1,0.35072701774401704,17.558022122198434,54,213,267
2,4,24,1.0,0.3491774961850143,16.78923887266148,54,213,267
2,4,24,10.0,0.390660618553031,19.16930039556216,54,213,267
2,4,48,1e-06,0.3671754666670591,18.919010899018545,54,213,267
2,4,48,0.0001,0.3671649011667952,18.917821013501694,54,213,267
2,4,48,0.001,0.36706923274420894,18.907061320116245,54,213,267
2,4,48,0.01,0.3661485417217085,18.804701515661716,54,213,267
2,4,48,0.1,0.35940540999607445,18.08358156042726,54,213,267
2,4,48,1.0,0.3465476726456015,16.39146029043145,54,213,267
2,4,48,10.0,0.37950253651403254,17.94210397533784,54,213,267
2,4,72,1e-06,0.3848480560292682,19.961158083074345,54,213,267
2,4,72,0.0001,0.38483022654518706,19.95920946699343,54,213,267
2,4,72,0.001,0.3846688529307483,19.941606947170182,54,213,267
2,4,72,0.01,0.38312223227961195,19.775719763717696,54,213,267
2,4,72,0.1,0.37216272003813655,18.67510733513341,54,213,267
2,4,72,1.0,0.3513016619547861,16.461905683950963,54,213,267
2,4,72,10.0,0.3843087686528402,18.244617995360063,54,213,267
2,6,24,1e-06,0.3712439791167944,18.903827040684618,54,213,267
2,6,24,0.0001,0.37124310015004414,18.903502286172017,54,213,267
2,6,24,0.001,0.37123514797017926,18.900566387264767,54,213,267
2,6,24,0.01,0.37115897765389855,18.872626351453306,54,213,267
2,6,24,0.1,0.37058495218741994,18.65915638004419,54,213,267
2,6,24,1.0,0.37267725946296826,18.05778740379758,54,213,267
2,6,24,10.0,0.3885911772744887,18.649019564782083,54,213,267
2,6,48,1e-06,0.3771005056149883,18.958299006884506,54,213,267
2,6,48,0.0001,0.3770962250112647,18.9573403585427,54,213,267
2,6,48,0.001,0.3770575161049031,18.94869509896197,54,213,267
2,6,48,0.01,0.3766890767767919,18.86835117235476,54,213,267
2,6,48,0.1,0.37411462596989437,18.357898299526187,54,213,267
2,6,48,1.0,0.371716011595867,17.33891768838549,54,213,267
2,6,48,10.0,0.3905253379737321,18.46592968574759,54,213,267
2,6,72,1e-06,0.3778874621889558,19.34736893615262,54,213,267
2,6,72,0.0001,0.3778833179269154,19.346032328011056,54,213,267
2,6,72,0.001,0.37784576478059795,19.333997797160734,54,213,267
2,6,72,0.01,0.37748182963616944,19.223611687930838,54,213,267
2,6,72,0.1,0.37475056637796195,18.554013005818256,54,213,267
2,6,72,1.0,0.37022665061870297,17.274722029035384,54,213,267
2,6,72,10.0,0.3973020858909577,18.990867088743034,54,213,267
3,3,24,1e-06,0.3645817635823174,16.06659367834145,54,256,310
3,3,24,0.0001,0.3645750800234729,16.066041257190392,54,256,310
3,3,24,0.001,0.3645145588530919,16.061041694384894,54,256,310
3,3,24,0.01,0.36393203349283876,16.013149485914283,54,256,310
3,3,24,0.1,0.3597299275778199,15.67092547399368,54,256,310
3,3,24,1.0,0.35358009265222634,14.938951335913934,54,256,310
