method,horizon,metric,mean,ci_low,ci_high,n_targets,n_origins,block_length,replicates,seed
persistence,3,raw_rmse,0.4495204866773285,0.42610557332983023,0.47293273894191035,183,5,3,10000,20260714
raw_var_window_ar,3,raw_rmse,0.6434769138924116,0.6095310252870714,0.6841681182542402,183,5,3,10000,20261723
seasonal_window_naive,3,raw_rmse,0.44952048667732863,0.42583972467280534,0.473314513760436,183,5,3,10000,20262732
euclidean_gaussian_ar,3,raw_rmse,0.3721431161768384,0.34013479105927563,0.4020823002322817,183,5,3,10000,20263741
cholesky_gaussian_ar,3,raw_rmse,0.35955027926474814,0.33363093442452313,0.3836858107215484,183,5,3,10000,20264750
log_euclidean_gaussian_ar,3,raw_rmse,0.3692584740511503,0.3434968522212479,0.39320529892043027,183,5,3,10000,20265759
fixed_bwar,3,raw_rmse,0.3565054355015377,0.3303369380609487,0.37937145469349937,183,5,3,10000,20266768
local_bwar,3,raw_rmse,0.3535152402038207,0.3325253413597459,0.37839758254683276,183,5,3,10000,20267777
persistence,3,w2,26.765042470009064,24.55735582133125,29.20042173993517,183,5,3,10000,20268786
raw_var_window_ar,3,w2,73.9693357941373,69.16138754048521,79.03597989798962,183,5,3,10000,20269795
seasonal_window_naive,3,w2,26.765184784664733,24.535813100195753,29.143410448653842,183,5,3,10000,20270804
euclidean_gaussian_ar,3,w2,17.63814644435684,15.76491891527725,19.63026573882444,183,5,3,10000,20271813
cholesky_gaussian_ar,3,w2,15.384590660374158,13.765510261128773,16.999770187409563,183,5,3,10000,20272822
log_euclidean_gaussian_ar,3,w2,16.059621088498233,14.254331093402179,17.94845542924652,183,5,3,10000,20273831
fixed_bwar,3,w2,14.550958282574769,12.979100454042683,16.04585804618313,183,5,3,10000,20274840
local_bwar,3,w2,14.216138312323636,13.050501055798561,15.583698913576983,183,5,3,10000,20275849
persistence,4,raw_rmse,0.46696427080215114,0.44159453924309994,0.4948822926852118,183,5,3,10000,20276858
raw_var_window_ar,4,raw_rmse,0.6519915868622085,0.6154671102551287,0.6905226432087351,183,5,3,10000,20277867
seasonal_window_naive,4,raw_rmse,0.46696427080215114,0.44087995945487435,0.4946412437641519,183,5,3,10000,20278876
euclidean_gaussian_ar,4,raw_rmse,0.3937861795745516,0.35991208070883385,0.42572176364891057,183,5,3,10000,20279885
cholesky_gaussian_ar,4,raw_rmse,0.3745081455572099,0.3466922901381826,0.4033338374087665,183,5,3,10000,20280894
log_euclidean_gaussian_ar,4,raw_rmse,0.3964270278566068,0.3682090121600209,0.4251600615799308,183,5,3,10000,20281903
fixed_bwar,4,raw_rmse,0.3652816718475954,0.3386787706798922,0.3917656499340286,183,5,3,10000,20282912
local_bwar,4,raw_rmse,0.35790105932431576,0.33629916306461144,0.3822474764689557,183,5,3,10000,20283921
persistence,4,w2,27.855091176819748,25.452527267290805,30.648645680588483,183,5,3,10000,20284930
raw_var_window_ar,4,w2,80.25647747007376,75.3140950404014,85.24073058891962,183,5,3,10000,20285939
seasonal_window_naive,4,w2,27.855264271818633,25.459954378516684,30.60439098085385,183,5,3,10000,20286948
euclidean_gaussian_ar,4,w2,19.61091171246502,17.62545396320401,21.684208872836365,183,5,3,10000,20287957
cholesky_gaussian_ar,4,w2,16.154946707412734,14.431026175914855,17.976905314042995,183,5,3,10000,20288966
log_euclidean_gaussian_ar,4,w2,17.352697660270707,15.542138725713201,19.218181695093925,183,5,3,10000,20289975
fixed_bwar,4,w2,14.929679583611739,13.351949300624138,16.5494606388994,183,5,3,10000,20290984
local_bwar,4,w2,14.170026125290905,12.969496035492527,15.519543300912083,183,5,3,10000,20291993
persistence,6,raw_rmse,0.35451024865981917,0.32761189431616616,0.38735988018018114,183,5,3,10000,20293002
raw_var_window_ar,6,raw_rmse,0.6528708087613658,0.6164997722613219,0.6925820133066367,183,5,3,10000,20294011
seasonal_window_naive,6,raw_rmse,0.35451024865981917,0.3279490887455356,0.38701832789625024,183,5,3,10000,20295020
euclidean_gaussian_ar,6,raw_rmse,0.42625426555137236,0.39548842469018936,0.4584359679866203,183,5,3,10000,20296029
cholesky_gaussian_ar,6,raw_rmse,0.40600274994410074,0.37827714229950404,0.43836151489369535,183,5,3,10000,20297038
log_euclidean_gaussian_ar,6,raw_rmse,0.4256640439827685,0.39832207216871457,0.4592651475149724,183,5,3,10000,20298047
fixed_bwar,6,raw_rmse,0.44488222964271,0.40744012443526095,0.4795822906563151,183,5,3,10000,20299056
local_bwar,6,raw_rmse,0.3621196863363726,0.3391381384100522,0.3892701267432301,183,5,3,10000,20300065
persistence,6,w2,18.117370871170486,16.389166457261936,20.340253961249736,183,5,3,10000,20301074
raw_var_window_ar,6,w2,80.86184784391662,75.84235300624309,85.98161166343631,183,5,3,10000,20302083
seasonal_window_naive,6,w2,18.117563662409268,16.38542785771722,20.31726764783089,183,5,3,10000,20303092
euclidean_gaussian_ar,6,w2,20.36729805224984,18.371685677898494,22.451366613657598,183,5,3,10000,20304101
cholesky_gaussian_ar,6,w2,17.872299996179073,16.05079646713024,20.038502480704512,183,5,3,10000,20305110
log_euclidean_gaussian_ar,6,w2,19.627722816881377,17.671608905603097,22.120489377934184,183,5,3,10000,20306119
fixed_bwar,6,w2,21.344428926635246,18.70995953644118,23.864713284262855,183,5,3,10000,20307128
local_bwar,6,w2,14.537023110270315,13.30499835722149,16.001229016323883,183,5,3,10000,20308137
