target_method,comparator,horizon,metric,mean_difference,ci_low,ci_high,sensitivity_ci_low,sensitivity_ci_high,p_value,p_holm,n_targets,n_origins,block_length,sensitivity_block_length,replicates,seed
fixed_bwar,persistence,3,raw_rmse,-0.0930150511757909,-0.1186364192762198,-0.0706852898674854,-0.1173790499360936,-0.0719203072736699,9.999000099990002e-05,0.0004999500049995,183,5,3,6,10000,20260714
fixed_bwar,raw_var_window_ar,3,raw_rmse,-0.2869714783908739,-0.3247648290134142,-0.2576812217580637,-0.3355732001675517,-0.2623699269089858,9.999000099990002e-05,0.0004999500049995,183,5,3,6,10000,20261723
fixed_bwar,euclidean_gaussian_ar,3,raw_rmse,-0.0156376806753006,-0.0381033829406464,0.0045768929410254,-0.0367243967529465,0.0063931575537694,0.0834916508349165,0.166983301669833,183,5,3,6,10000,20263741
fixed_bwar,cholesky_gaussian_ar,3,raw_rmse,-0.0030448437632104,-0.0129880848328933,0.006322066586603,-0.0153585448856826,0.0054503312040467,0.302969703029697,0.302969703029697,183,5,3,6,10000,20264750
fixed_bwar,log_euclidean_gaussian_ar,3,raw_rmse,-0.0127530385496126,-0.0235976706637861,-0.0022053139861877,-0.026081880015136,-0.0041219542705324,0.0123987601239876,0.0371962803719628,183,5,3,6,10000,20265759
fixed_bwar,persistence,3,w2,-12.214084187434295,-14.354282082947451,-10.2467834995317,-14.558936796375002,-10.201008340121057,9.999000099990002e-05,0.0004999500049995,183,5,3,6,10000,20266768
fixed_bwar,raw_var_window_ar,3,w2,-59.41837751156253,-63.84642471479171,-55.31215588126915,-65.0493732663535,-55.183888377863845,9.999000099990002e-05,0.0004999500049995,183,5,3,6,10000,20267777
fixed_bwar,euclidean_gaussian_ar,3,w2,-3.0871881617820653,-4.3292519852866995,-1.9992303880103195,-4.250893103068425,-1.986793150915186,9.999000099990002e-05,0.0004999500049995,183,5,3,6,10000,20269795
fixed_bwar,cholesky_gaussian_ar,3,w2,-0.8336323777993864,-1.430761634214954,-0.3268793661767329,-1.5305641054997907,-0.4243919614255307,0.0025997400259974,0.0051994800519948,183,5,3,6,10000,20270804
fixed_bwar,log_euclidean_gaussian_ar,3,w2,-1.508662805923461,-2.824448879831956,-0.4474166355156791,-3.1406443369567705,-0.4208651611358087,0.0143985601439856,0.0143985601439856,183,5,3,6,10000,20271813
local_bwar,persistence,3,raw_rmse,-0.0960052464735079,-0.1194756088185521,-0.0678743980190202,-0.1230141945846287,-0.0638964032726249,9.999000099990002e-05,0.0004999500049995,183,5,3,6,10000,20272822
local_bwar,raw_var_window_ar,3,raw_rmse,-0.289961673688591,-0.3295265805013603,-0.252190229516972,-0.3371708547129885,-0.2560873888261577,9.999000099990002e-05,0.0004999500049995,183,5,3,6,10000,20273831
local_bwar,euclidean_gaussian_ar,3,raw_rmse,-0.0186278759730177,-0.041536247837578,0.0079572387568127,-0.0418300113999981,0.0141313986118026,0.047995200479952,0.1190880911908809,183,5,3,6,10000,20275849
local_bwar,cholesky_gaussian_ar,3,raw_rmse,-0.0060350390609274,-0.0211674925309944,0.0148958528387846,-0.0197081438080431,0.0138528035116762,0.1785821417858214,0.1785821417858214,183,5,3,6,10000,20276858
local_bwar,log_euclidean_gaussian_ar,3,raw_rmse,-0.0157432338473296,-0.0334316471967938,0.0071924299711636,-0.0334156298107085,0.007193689952292,0.0396960303969603,0.1190880911908809,183,5,3,6,10000,20277867
local_bwar,persistence,3,w2,-12.548904157685428,-14.549283028815257,-10.39365636086475,-14.866232486080673,-10.139872867378443,9.999000099990002e-05,0.0004999500049995,183,5,3,6,10000,20278876
local_bwar,raw_var_window_ar,3,w2,-59.75319748181367,-64.3226799705075,-55.178453106540296,-65.41918672803712,-54.872883104647215,9.999000099990002e-05,0.0004999500049995,183,5,3,6,10000,20279885
local_bwar,euclidean_gaussian_ar,3,w2,-3.4220081320331985,-4.873725763765496,-1.9006327296260497,-4.92707297222218,-1.7098637012906346,9.999000099990002e-05,0.0004999500049995,183,5,3,6,10000,20281903
local_bwar,cholesky_gaussian_ar,3,w2,-1.168452348050521,-2.0988669753422275,-0.060953492956786,-2.0772903066131563,-0.0934600002638662,0.006999300069993,0.0111988801119888,183,5,3,6,10000,20282912
local_bwar,log_euclidean_gaussian_ar,3,w2,-1.843482776174595,-3.2644049273695415,-0.3149192825595543,-3.5009119627346212,-0.155851467073159,0.0055994400559944,0.0111988801119888,183,5,3,6,10000,20283921
local_bwar,fixed_bwar,3,raw_rmse,-0.002990195297717,-0.0197259633539451,0.0195588716132685,-0.0184693319624153,0.0225141769299639,0.2685731426857314,0.2685731426857314,183,5,3,6,10000,20310714
local_bwar,fixed_bwar,3,w2,-0.3348199702511339,-1.2338150032576192,0.8325012978597822,-1.1548057513018863,0.8917302663706467,0.1835816418358164,0.1835816418358164,183,5,3,6,10000,20311723
