origin,fit_end,val_end,test_end,horizon,source_index,target_index,method,window_length,ridge,raw_rmse,w2,min_pred_eig,reference_residual,reference_refreshed,reference_fallback
0,127,181,224,3,178,181,cholesky_gaussian_ar,181.0,0.1,0.2840255582671221,13.404226432037136,0.0970652281814561,,,
0,127,181,224,3,178,181,euclidean_gaussian_ar,181.0,1.0,0.2939329553451502,9.62310599709479,0.17739020404797992,,,
0,127,181,224,3,178,181,fixed_bwar,181.0,0.1,0.2867628092716921,10.887610517458693,0.09100928256385811,,,
0,127,181,224,3,178,181,local_bwar,24.0,0.1,0.1816797361389592,8.406284878418298,0.09610174640304982,5.468124700803897e-11,1.0,0.0
0,127,181,224,3,178,181,log_euclidean_gaussian_ar,181.0,0.1,0.2700336733771735,13.816369451069189,0.07930550291249136,,,
0,127,181,224,3,178,181,persistence,,,0.15559363219926212,11.886337637353648,0.04253534473373748,,,
0,127,181,224,3,178,181,raw_var_window_ar,72.0,10.0,0.5871146668923554,86.1565450097291,9.999999983064013e-09,,,
0,127,181,224,3,178,181,seasonal_window_naive,72.0,,0.15559363219926223,11.886413817552045,0.0425253547337351,,,
0,127,181,224,3,179,182,cholesky_gaussian_ar,181.0,0.1,0.41996802171158104,18.05067587648162,0.09459032140118617,,,
0,127,181,224,3,179,182,euclidean_gaussian_ar,181.0,1.0,0.37913283510426454,12.731375662044154,0.1791178758295927,,,
0,127,181,224,3,179,182,fixed_bwar,181.0,0.1,0.4214001357364856,15.308712205835626,0.09306335116721225,,,
0,127,181,224,3,179,182,local_bwar,24.0,0.1,0.300478607103054,11.160253494368853,0.08794425368555263,9.739157678321313e-10,1.0,0.0
0,127,181,224,3,179,182,log_euclidean_gaussian_ar,181.0,0.1,0.4100273020673604,20.09925811607015,0.08198699687106356,,,
0,127,181,224,3,179,182,persistence,,,0.5158154813891338,33.466793269153605,0.031071602170496242,,,
