design,seed,n,d,phi,dispersion,fit_end,val_end,test_end,ar_model,method,q_total,q_cov,n_active_mean,n_active_diag,n_active_offdiag,reference_condition,mean_dispersion,spectral_shell_low,spectral_shell_high,ridge,val_w2_mean,test_w2_mean,test_w2_median,test_w2_q90,test_mean_component,test_cov_component,n_test_pairs,min_pred_eig,w2_ratio_to_persistence,cov_ratio_to_persistence,mean_ratio_to_persistence
Baseline,0,320,8,0.7,0.35,144,208,320,diag,persistence,44,36,3,3,10,8.0,0.03,0.05,20.0,,1.7749535034268145,1.7072331313303881,,,0.0016221468745212973,1.7056109844558667,112,0.04999999999999873,1.0,1.0,1.0
Baseline,0,320,8,0.7,0.35,144,208,320,diag,euclidean_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.6344202051801007,1.6194356887655392,1.5619099113300516,2.382721891145416,0.0013483375143501044,1.6180873512511893,112,0.1412622006956598,0.9485732551965932,0.9486848794934328,0.8312055680827328
Baseline,0,320,8,0.7,0.35,144,208,320,diag,cholesky_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.6557430394194008,1.6200899616085234,1.554541946536299,2.4427235953299005,0.0013483375143501044,1.6187416240941734,112,0.07192094885772395,0.9489564909896301,0.949068479768611,0.8312055680827328
Baseline,0,320,8,0.7,0.35,144,208,320,diag,log_euclidean_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.6775514708362722,1.6410988946533236,1.5552839724291778,2.4450845404541592,0.0013483375143501044,1.6397505571389737,112,0.09693672071704161,0.961262328229579,0.9613860206593919,0.8312055680827328
Baseline,0,320,8,0.7,0.35,144,208,320,diag,bwar_barycenter,44,36,3,3,10,8.0,0.03,0.05,20.0,0.0001,1.5208897552364193,1.4857335936988745,1.4078551336784306,2.362374347604983,0.0013482330155875585,1.4843853606832873,112,0.13521451999815226,0.8702581776521016,0.8702953804890299,0.8311411480451966
Baseline,1,320,8,0.7,0.35,144,208,320,diag,persistence,44,36,3,3,10,8.0,0.03,0.05,20.0,,1.6187469707253794,1.7389867573431155,,,0.0016227077688292927,1.7373640495742861,112,0.04999999999999802,1.0,1.0,1.0
Baseline,1,320,8,0.7,0.35,144,208,320,diag,euclidean_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.5231094121675657,1.621733070437649,1.5202918621652253,2.394047163064053,0.0014040358528711794,1.6203290345847776,112,0.16302402116971618,0.9325735596258301,0.9326364471406058,0.8652425777711813
Baseline,1,320,8,0.7,0.35,144,208,320,diag,cholesky_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.6060081301711127,1.7099647015114372,1.593108034615644,2.6449056109697797,0.0014040358528711794,1.7085606656585661,112,0.08274274285380155,0.983310939137904,0.9834212156497782,0.8652425777711813
Baseline,1,320,8,0.7,0.35,144,208,320,diag,log_euclidean_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.5681231254493064,1.7201175070098524,1.6763303914711338,2.650545161368798,0.0014040358528711794,1.7187134711569811,112,0.1001045661913234,0.9891492846316483,0.9892650141909665,0.8652425777711813
Baseline,1,320,8,0.7,0.35,144,208,320,diag,bwar_barycenter,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.4099532434803344,1.5274047560477386,1.4492142149984435,2.3584436957624244,0.0014040358528711677,1.5260007201948673,112,0.1397475070350056,0.8783302975701556,0.8783425215738693,0.8652425777711741
Baseline,2,320,8,0.7,0.35,144,208,320,diag,persistence,44,36,3,3,10,8.0,0.03,0.05,20.0,,1.6145061878699285,1.5203552118960637,,,0.0016205732021846273,1.518734638693879,112,0.04999999999999716,1.0,1.0,1.0
Baseline,2,320,8,0.7,0.35,144,208,320,diag,euclidean_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.5198263165992683,1.4944642534221801,1.417113337990969,2.1972649456730147,0.001312612616315132,1.493151640805865,112,0.044564474582215303,0.9829704543574429,0.9831550573508908,0.8099681116197983
Baseline,2,320,8,0.7,0.35,144,208,320,diag,cholesky_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.5531583332636967,1.5257166129423982,1.4612607174323942,2.2558190162867295,0.001312612616315132,1.5244040003260828,112,0.08427796109271807,1.0035264134357444,1.003732950765566,0.8099681116197983
Baseline,2,320,8,0.7,0.35,144,208,320,diag,log_euclidean_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.5196353202649413,1.4868703607226383,1.3807145917226655,2.329052073824748,0.001312612616315132,1.4855577481063231,112,0.08365210864518714,0.977975639566713,0.9781549128186816,0.8099681116197983
Baseline,2,320,8,0.7,0.35,144,208,320,diag,bwar_barycenter,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.3955667352685102,1.3576718767960405,1.262432309183011,2.1898489014882823,0.0013126126163151236,1.3563592641797253,112,0.0919262346382065,0.8929964959325934,0.8930850917749545,0.809968111619793
Baseline,3,320,8,0.7,0.35,144,208,320,diag,persistence,44,36,3,3,10,8.0,0.03,0.05,20.0,,1.2542385240629743,1.3720999117694814,,,0.0017307523722792284,1.370369159397202,112,0.04999999999999663,1.0,1.0,1.0
Baseline,3,320,8,0.7,0.35,144,208,320,diag,euclidean_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.3706773649670831,1.4135576096945208,1.328839928601829,2.0569866039818905,0.001456728807779986,1.4121008808867406,112,0.20075997471673127,1.0302147806944866,1.0304529047544353,0.8416737316740576
Baseline,3,320,8,0.7,0.35,144,208,320,diag,cholesky_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.3464041900001518,1.5852920238147827,1.4528209285468767,2.576893011863492,0.001456728807779986,1.583835295007003,112,0.10112309369223907,1.1553765219402758,1.1557727230987163,0.8416737316740576
Baseline,3,320,8,0.7,0.35,144,208,320,diag,log_euclidean_gaussian_ar,44,36,3,3,10,8.0,0.03,0.05,20.0,1e-06,1.1801798088851974,1.3262987408224036,1.225895766562908,2.2350820716865454,0.001456728807779986,1.3248420120146236,112,0.09600843053021092,0.9666196531650441,0.9667774576869456,0.8416737316740576
