drift_strength,method,n_rep,w2_ratio_mean,w2_ratio_se,min_pred_eig
0.0,cholesky,50,0.962430275105255,0.00506535307339017,0.07335673753268722
0.0,euclidean,50,0.9485535364436792,0.0046185050213189876,1.000000108471066e-08
0.0,fixed_bwar,50,0.9247173573249786,0.0034904998623369833,0.11032409043039648
0.0,local_bwar,50,0.9271635048441835,0.0035365825312076767,0.10818704929565644
0.0,log_euclidean,50,0.942809738367295,0.0037126620955078137,0.08753990682725776
0.0,persistence,50,1.0,0.0,0.027293325178375183
0.5,cholesky,50,0.9764978302122345,0.006204884545335478,0.06409227549809522
0.5,euclidean,50,0.957744017959002,0.00468755364933122,1.0000000406337585e-08
0.5,fixed_bwar,50,0.9291140766654664,0.003330511072165325,0.10381699616815313
0.5,local_bwar,50,0.9288066978648486,0.0034567866483336783,0.09973598784978153
0.5,log_euclidean,50,0.9547227424251129,0.003933114191338906,0.08105772903673578
0.5,persistence,50,1.0,0.0,0.02215228300149604
1.0,cholesky,50,1.0141151087878637,0.00948726419580739,0.04916956160210625
1.0,euclidean,50,0.981645377236039,0.00510567929596969,9.999999639147764e-09
1.0,fixed_bwar,50,0.9415850764670397,0.003410217690674159,0.05294267497842192
1.0,local_bwar,50,0.9328933595087928,0.0035497024538930153,0.05526383657370825
1.0,log_euclidean,50,0.9842333898579227,0.005016864481698667,0.052994917974424946
1.0,persistence,50,1.0,0.0,0.013725776809698706
1.5,cholesky,50,1.0793573908816008,0.016862264382542062,0.02431534342639483
1.5,euclidean,50,1.0234694251887628,0.006347738648876066,9.999997788799165e-09
1.5,fixed_bwar,50,0.9634693160062662,0.0039662887556385475,0.02281947583349073
1.5,local_bwar,50,0.9410425643671155,0.003988697651735927,0.027240336735261255
1.5,log_euclidean,50,1.0360011220788763,0.007308685624202436,0.02636207754127956
1.5,persistence,50,1.0,0.0,0.00790884783880597
