setting,seed,n,d,phi,dispersion,window_length,fit_end,validation_end,method,ridge,validation_w2_mean,w2_mean,w2_ratio_mean,n_test_origins,min_pred_eig,mean_shift_strength,covariance_shift_strength,coordinate_dimension,reference_condition
No shift,0,260,5,0.7,0.16,36,117,169,persistence,,,0.21726450365938307,1.0,91,0.08974345262891585,0.35,0.8,20,6.0
No shift,0,260,5,0.7,0.16,36,117,169,euclidean,1e-06,0.2217364841974934,0.2099528115303441,0.9663465867369577,91,0.2538732536435616,0.35,0.8,20,6.0
No shift,0,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.2453455865082241,0.2225721018559513,1.0244292008458467,91,0.18819840836382043,0.35,0.8,20,6.0
No shift,0,260,5,0.7,0.16,36,117,169,log_euclidean,1e-06,0.2213345103968323,0.21079612151376262,0.9702280766684223,91,0.18203479492161176,0.35,0.8,20,6.0
No shift,0,260,5,0.7,0.16,36,117,169,fixed_bwar,1e-06,0.21487431093883796,0.20419269606537474,0.9398345915976146,91,0.23218448834431857,0.35,0.8,20,6.0
No shift,0,260,5,0.7,0.16,36,117,169,local_bwar,1e-06,0.21333733003628497,0.20424594457020417,0.940079677674413,91,0.23078544476471227,0.35,0.8,20,6.0
No shift,1,260,5,0.7,0.16,36,117,169,persistence,,,0.15795108535801758,1.0,91,0.16403116883455907,0.35,0.8,20,6.0
No shift,1,260,5,0.7,0.16,36,117,169,euclidean,1e-06,0.14258600725950427,0.14787767086165515,0.9362244680147043,91,0.24819504355065836,0.35,0.8,20,6.0
No shift,1,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.1428543794392301,0.1501676733104083,0.9507226428361216,91,0.22434005663167417,0.35,0.8,20,6.0
No shift,1,260,5,0.7,0.16,36,117,169,log_euclidean,1e-06,0.1423782229739504,0.146440091984758,0.9271230498532609,91,0.22860841610446134,0.35,0.8,20,6.0
No shift,1,260,5,0.7,0.16,36,117,169,fixed_bwar,1e-06,0.14058659505330534,0.14560218704869976,0.9218182117500024,91,0.23412303664498232,0.35,0.8,20,6.0
No shift,1,260,5,0.7,0.16,36,117,169,local_bwar,1e-06,0.14069317890945804,0.14579574892871758,0.923043666323987,91,0.2329654726579087,0.35,0.8,20,6.0
No shift,2,260,5,0.7,0.16,36,117,169,persistence,,,0.19846764005749626,1.0,91,0.044643398868979826,0.35,0.8,20,6.0
No shift,2,260,5,0.7,0.16,36,117,169,euclidean,1e-06,0.1797987079154587,0.18276485991331828,0.9208798968958927,91,0.20858507227655781,0.35,0.8,20,6.0
No shift,2,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.17587476017358578,0.1842316079907949,0.9282702607710902,91,0.13697046046811956,0.35,0.8,20,6.0
No shift,2,260,5,0.7,0.16,36,117,169,log_euclidean,1e-06,0.17724789816075354,0.18516741504968454,0.9329854226917867,91,0.12971945584549108,0.35,0.8,20,6.0
No shift,2,260,5,0.7,0.16,36,117,169,fixed_bwar,1e-06,0.17465624930575768,0.18022721050522614,0.9080936844566406,91,0.15323369393232947,0.35,0.8,20,6.0
No shift,2,260,5,0.7,0.16,36,117,169,local_bwar,1e-06,0.1744444176047306,0.1804414532764749,0.9091731691080764,91,0.15242472037253654,0.35,0.8,20,6.0
No shift,3,260,5,0.7,0.16,36,117,169,persistence,,,0.1731070128164273,1.0,91,0.17501419347263836,0.35,0.8,20,6.0
No shift,3,260,5,0.7,0.16,36,117,169,euclidean,1e-06,0.17742626583876436,0.16224590669166483,0.9372578502277074,91,0.1867133330174739,0.35,0.8,20,6.0
No shift,3,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.1829223909302285,0.16123627908478744,0.9314254602485211,91,0.2374505516698431,0.35,0.8,20,6.0
No shift,3,260,5,0.7,0.16,36,117,169,log_euclidean,1e-06,0.18340004464273083,0.15884894385541878,0.9176343654192185,91,0.22161297499924912,0.35,0.8,20,6.0
No shift,3,260,5,0.7,0.16,36,117,169,fixed_bwar,1e-06,0.177668213648654,0.15775776450724746,0.9113308695040734,91,0.2261684276107992,0.35,0.8,20,6.0
No shift,3,260,5,0.7,0.16,36,117,169,local_bwar,1e-06,0.1781134850047992,0.15787247081631908,0.9119935018677504,91,0.22795253512630545,0.35,0.8,20,6.0
No shift,4,260,5,0.7,0.16,36,117,169,persistence,,,0.15014050995286207,1.0,91,0.16097797997797045,0.35,0.8,20,6.0
No shift,4,260,5,0.7,0.16,36,117,169,euclidean,1e-06,0.15980123474685687,0.13718503170747892,0.9137109748098589,91,0.24632290973366328,0.35,0.8,20,6.0
No shift,4,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.15750434142375191,0.14130823501248366,0.9411732720026634,91,0.23569394193172638,0.35,0.8,20,6.0
No shift,4,260,5,0.7,0.16,36,117,169,log_euclidean,1e-06,0.15574462979118514,0.1376975808588133,0.9171247713361615,91,0.22559962237182632,0.35,0.8,20,6.0
No shift,4,260,5,0.7,0.16,36,117,169,fixed_bwar,1e-06,0.15492165556985016,0.13539058839456788,0.9017592149985034,91,0.23736845944429405,0.35,0.8,20,6.0
No shift,4,260,5,0.7,0.16,36,117,169,local_bwar,1e-06,0.15505704493297431,0.13572558532623724,0.9039904378162128,91,0.2374958068843039,0.35,0.8,20,6.0
No shift,5,260,5,0.7,0.16,36,117,169,persistence,,,0.18379992213419116,1.0,91,0.029877203730561807,0.35,0.8,20,6.0
No shift,5,260,5,0.7,0.16,36,117,169,euclidean,1e-06,0.1626968571641611,0.17153141015668297,0.9332507226605296,91,0.3128944263946531,0.35,0.8,20,6.0
No shift,5,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.16519855022695212,0.17641372035664993,0.9598139014871365,91,0.1367008163639193,0.35,0.8,20,6.0
No shift,5,260,5,0.7,0.16,36,117,169,log_euclidean,1e-06,0.15998130737867153,0.17379087349904052,0.9455437819617621,91,0.11028196267444504,0.35,0.8,20,6.0
No shift,5,260,5,0.7,0.16,36,117,169,fixed_bwar,1e-06,0.1582539302921331,0.16895711697924606,0.9192447690804327,91,0.18558528209933153,0.35,0.8,20,6.0
No shift,5,260,5,0.7,0.16,36,117,169,local_bwar,1e-06,0.15780340176947638,0.16907183355934383,0.9198689074302521,91,0.17801709554420725,0.35,0.8,20,6.0
No shift,6,260,5,0.7,0.16,36,117,169,persistence,,,0.15952149789917922,1.0,91,0.11038537792230192,0.35,0.8,20,6.0
No shift,6,260,5,0.7,0.16,36,117,169,euclidean,1e-06,0.15533095039281578,0.1487545286527306,0.932504587856531,91,0.2587081323295772,0.35,0.8,20,6.0
No shift,6,260,5,0.7,0.16,36,117,169,cholesky,1e-06,0.1612595841813516,0.1503132312562537,0.9422757009920674,91,0.18252719412093044,0.35,0.8,20,6.0
No shift,6,260,5,0.7,0.16,36,117,169,log_euclidean,1e-06,0.15461295058511706,0.1476747115035836,0.9257354867424639,91,0.18575506255892235,0.35,0.8,20,6.0
