setting,method,n_rep,w2_ratio_mean,w2_ratio_se,min_pred_eig
No shift,persistence,50,1.0,0.0,0.027293325178375162
No shift,euclidean,50,0.9398699808301682,0.0040396703455762555,9.999998918634654e-09
No shift,cholesky,50,0.9504500284574178,0.004307489090593872,0.03100173108759657
No shift,log_euclidean,50,0.9364014744228609,0.0033093216881598694,0.041442003217494076
No shift,fixed_bwar,50,0.9176473012335097,0.002865508110328827,0.07710536539904418
No shift,local_bwar,50,0.919749601253256,0.0029097947047866586,0.07730096342681719
Mean shift,persistence,50,1.0,0.0,0.027293325178375162
Mean shift,euclidean,50,0.9399365841551712,0.004049770733004567,9.99999948810627e-09
Mean shift,cholesky,50,0.9507460594181733,0.0043318446501163805,0.031022800809578914
Mean shift,log_euclidean,50,0.9365618619322517,0.003313506981226975,0.04177151523713429
Mean shift,fixed_bwar,50,0.9180514289748858,0.002915595524656747,0.07753670141458571
Mean shift,local_bwar,50,0.92016125249065,0.0029771338422575166,0.07730096342681719
Covariance shift,persistence,50,1.0,0.0,0.011870034593029684
Covariance shift,euclidean,50,0.9861673598032865,0.0058966018752892434,9.999999407749541e-09
Covariance shift,cholesky,50,0.9696408212997837,0.008833557350361301,0.0182011466817798
Covariance shift,log_euclidean,50,0.9460634375022362,0.0041124312314669495,0.01624247234814073
Covariance shift,fixed_bwar,50,0.919853454697303,0.003140540016390505,0.03770218023364069
Covariance shift,local_bwar,50,0.9186257224907418,0.0032787238795517724,0.030229515493258637
Joint shift,persistence,50,1.0,0.0,0.011870034593029684
Joint shift,euclidean,50,0.985027435319745,0.005932494503878626,9.999998424866927e-09
Joint shift,cholesky,50,0.9694892329781226,0.008841542643625954,0.0182011466817798
Joint shift,log_euclidean,50,0.9460456248628502,0.004116876421884022,0.01624247234814073
Joint shift,fixed_bwar,50,0.9198521020048317,0.0031405662076437707,0.03770218023364069
Joint shift,local_bwar,50,0.9184247093615618,0.0033358446178661087,0.030229515493258637
Gradual joint shift,persistence,50,1.0,0.0,0.013725776809698706
Gradual joint shift,euclidean,50,0.9755158700044814,0.004755354599388034,9.999999006277015e-09
Gradual joint shift,cholesky,50,0.9870137517866745,0.007752576867760096,0.024059506952272536
Gradual joint shift,log_euclidean,50,0.9623519362990102,0.004234644280384431,0.02305653592937705
Gradual joint shift,fixed_bwar,50,0.9269327112055863,0.0028365778227028493,0.03620812350939223
Gradual joint shift,local_bwar,50,0.9207484247467189,0.002817399878132309,0.0450708025495543
